,start_tracking_at_element,q0,mass0,p0c,gamma0,beta0,s,x,y,px,py,zeta,chi,charge_ratio,weight,particle_id,at_element,at_turn,state,parent_particle_id,_rng_s1,_rng_s2,_rng_s3,_rng_s4,delta,ptau,rvv,rpp
25,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00029467095179473463,0.00018523314991348083,-9.925719004345182e-06,2.2154288214792405e-06,6.891344286754294e-06,1.0,1.0,0.0,25,0,0,1,25,0,0,0,0,0.00027000048977332547,0.00027000048734835086,1.000000000004849,0.9997300723908134
26,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002565595068165168,0.0003291078420658897,-9.208685423794478e-06,3.945674512360249e-06,6.277397754410429e-06,1.0,1.0,0.0,26,0,0,1,26,0,0,0,0,0.00027000050497361094,0.0002700005025488537,1.000000000004849,0.9997300723756213
27,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.000192137661859315,0.00045477473684156234,-7.997058793743926e-06,5.456841265465405e-06,5.236289539985171e-06,1.0,1.0,0.0,27,0,0,1,27,0,0,0,0,0.00027000049547454275,0.00027000049304967336,1.000000000004849,0.9997300723851152
28,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0001057956591948298,0.0005536698430358992,-6.37340946672379e-06,6.645945563891728e-06,3.838969447778924e-06,1.0,1.0,0.0,28,0,0,1,28,0,0,0,0,0.0002700004619229368,0.00027000045949816326,1.000000000004849,0.9997300724186488
29,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,3.4175636177401007e-06,0.0006190536225936467,-4.4483864611631135e-06,7.431951914789229e-06,2.18066253289491e-06,1.0,1.0,0.0,29,0,0,1,29,0,0,0,0,0.0002700004066056305,0.00027000040418080336,1.000000000004849,0.9997300724739362
30,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003008185871204765,0.0001870201667540994,-1.0041293319688753e-05,2.236943172079376e-06,6.991084309681239e-06,1.0,1.0,0.0,30,0,0,1,30,0,0,0,0,0.00027000049480552235,0.00027000049238080654,1.000000000004849,0.9997300723857839
31,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00026215480235996575,0.00033297999937248517,-9.313867948115578e-06,3.992264887465906e-06,6.3682400015063055e-06,1.0,1.0,0.0,31,0,0,1,31,0,0,0,0,0.00027000051022652016,0.00027000050780160654,1.000000000004849,0.9997300723703713
32,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00019679930747584787,0.00046046815349273275,-8.084681511832407e-06,5.525332608007369e-06,5.312043262234302e-06,1.0,1.0,0.0,32,0,0,1,32,0,0,0,0,0.00027000050058956226,0.0002700004981647569,1.000000000004849,0.999730072380003
33,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00010920597143941366,0.0005607965220956832,-6.437501035145312e-06,6.7316703020630585e-06,3.894472154198979e-06,1.0,1.0,0.0,33,0,0,1,33,0,0,0,0,0.0002700004665519007,0.000270000464126993,1.000000000004849,0.9997300724140222
34,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,5.344135346713965e-06,0.0006271278926615142,-4.484579145446076e-06,7.5290680493503795e-06,2.212131805765922e-06,1.0,1.0,0.0,34,0,0,1,34,0,0,0,0,0.0002700004104327913,0.00027000040800793224,1.000000000004849,0.999730072470111
